"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000136250",0.353880201642259,-1.11653753770178,0.023,0.027,1
"ENSG00000244879",0.355282708480527,0.206049202447642,0.019,0.022,1
"ENSG00000110075",0.355346563249231,-0.75324706254148,0.081,0.073,1
"ENSG00000282608",0.356579835991535,-0.543087888361113,0.095,0.101,1
"ENSG00000002933",0.356603871240832,0.231491779298911,0.024,0.021,1
"ENSG00000113569",0.358982841976837,-1.02347639328257,0.01,0.012,1
"ENSG00000162869",0.359439572842193,-0.623875873233555,0.01,0.012,1
"ENSG00000182578",0.359652876223217,-0.315607206720047,0.363,0.331,1
"ENSG00000144357",0.360893107484692,-0.520301027306895,0.013,0.011,1
"ENSG00000242067",0.361172884012574,-0.407592837306899,0.065,0.069,1
"ENSG00000237170",0.362706917359603,-0.522626080253139,0.01,0.012,1
"ENSG00000005889",0.364063044169526,-0.75363071578722,0.125,0.129,1
"ENSG00000114127",0.367277235732558,-0.983764597642107,0.02,0.023,1
"ENSG00000039123",0.369546713548738,0.187867302551876,0.012,0.01,1
"ENSG00000113658",0.370031987688379,-0.486233568757151,0.014,0.017,1
"ENSG00000087460",0.371416858253787,-0.434490150167477,0.291,0.289,1
"ENSG00000143164",0.371525804112643,-0.881629544617655,0.035,0.03,1
"ENSG00000197943",0.37219730919947,0.251546408853721,0.018,0.015,1
"ENSG00000074706",0.372215294617007,-0.379524866886537,0.045,0.04,1
"ENSG00000146463",0.372701030010396,-0.690465721748898,0.017,0.02,1
"ENSG00000167766",0.373057749489553,-1.36354263845825,0.009,0.011,1
"ENSG00000120137",0.374212495895087,-0.412659094759505,0.009,0.011,1
"ENSG00000186088",0.37451177464358,0.178847021785976,0.028,0.025,1
"ENSG00000077232",0.374873589061224,-0.22950109309039,0.038,0.043,1
"ENSG00000197563",0.376000197843412,0.112927335438314,0.025,0.021,1
"ENSG00000282826",0.37721706000507,-0.11923978836038,0.01,0.008,1
"ENSG00000164327",0.378261157175476,-0.792105642768421,0.064,0.069,1
"ENSG00000198900",0.378845519668065,0.316968385306114,0.036,0.031,1
"ENSG00000115446",0.380416581604664,0.447086734701503,0.02,0.017,1
"ENSG00000196295",0.382238841193646,-0.896590360525108,0.029,0.033,1
"ENSG00000152291",0.382246291590092,-0.470494128435232,0.09,0.095,1
