"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.50642390381809e-06,0.404067122273353,0.46,0.426,0.0393175312335123,"0","ENSG00000109046"
5.3659475558453e-06,0.734373900690794,0.371,0.344,0.0601683699436934,"0","ENSG00000254415"
5.74646249023284e-06,0.593405650303397,0.33,0.284,0.0644350839029808,"0","ENSG00000153187"
1.34240348495585e-05,0.593960365883517,0.316,0.276,0.1505237027681,"0","ENSG00000155660"
2.03845885755675e-05,0.675830038355571,0.307,0.266,0.228572391697839,"0","ENSG00000054118"
2.23130637844293e-05,0.384170145340818,0.31,0.257,0.250196384214806,"0","ENSG00000136682"
2.45305689493576e-05,0.816065070504731,0.253,0.217,0.275061269629146,"0","ENSG00000158604"
4.81468287183653e-05,0.503558852370741,0.296,0.258,0.539870390419031,"0","ENSG00000107099"
5.99827054660421e-05,0.869719329479568,0.36,0.343,0.67258607639073,"0","ENSG00000241553"
6.75515468113142e-05,0.602562675970675,0.288,0.251,0.757455494395266,"0","ENSG00000165527"
6.83483282621004e-05,0.343475434374944,0.273,0.226,0.766389804802932,"0","ENSG00000234797"
8.41556082998003e-05,0.774349480563624,0.314,0.286,0.94363683586566,"0","ENSG00000086598"
8.62022949754848e-05,0.377966713300272,0.256,0.211,0.96658633356011,"0","ENSG00000257621"
8.9280270624342e-05,0.7538214461509,0.252,0.221,1,"0","ENSG00000119669"
0.00012038714949192,0.647899505488957,0.345,0.323,1,"0","ENSG00000130741"
0.000121937710445992,0.384432683853582,0.338,0.294,1,"0","ENSG00000172785"
0.000127257324803456,0.668871695186547,0.314,0.288,1,"0","ENSG00000198625"
0.000142009759335367,0.360229872076057,0.295,0.252,1,"0","ENSG00000145425"
0.000313260542960537,0.639833310514361,0.251,0.222,1,"0","ENSG00000099785"
0.000435012725887903,0.398808207956929,0.419,0.389,1,"0","ENSG00000143933"
0.000628083928797677,0.412793284882123,0.264,0.231,1,"0","ENSG00000127483"
0.00232055766272661,0.666262599672274,0.293,0.274,1,"0","ENSG00000159692"
0.0029994576331636,0.777936964393214,0.358,0.346,1,"0","ENSG00000197461"
0.00440823613144062,0.380906799784206,0.297,0.274,1,"0","ENSG00000134352"
0.00456477486057601,0.325062772711302,0.284,0.259,1,"0","ENSG00000130522"
0.00588958659040865,0.491146671341688,0.308,0.29,1,"0","ENSG00000013441"
0.00593876624321124,0.429107433351136,0.278,0.25,1,"0","ENSG00000185787"
5.996806982229e-93,1.06554961048263,0.686,0.397,6.72421966917338e-89,"1","ENSG00000226608"
1.07405822922802e-84,0.714991512920179,0.923,0.819,1.20434149243338e-80,"1","ENSG00000087086"
2.12772444812118e-69,0.732669171016035,0.866,0.719,2.38581742367828e-65,"1","ENSG00000166710"
2.70785242473404e-67,0.555859837867552,0.951,0.859,3.03631492385427e-63,"1","ENSG00000019582"
1.14536129332562e-55,0.925781847885045,0.624,0.446,1.28429361820601e-51,"1","ENSG00000204472"
1.29109551145143e-42,0.920272308933396,0.523,0.351,1.44770539699049e-38,"1","ENSG00000234745"
5.20024100157205e-37,0.34407434778586,0.945,0.877,5.83103023506274e-33,"1","ENSG00000205542"
7.38765742221476e-37,0.40178969476089,0.702,0.49,8.28378026752942e-33,"1","ENSG00000187653"
2.31243890019985e-36,0.560714547859819,0.624,0.43,2.59293773879409e-32,"1","ENSG00000223361"
3.49393603971027e-35,0.733967722214917,0.511,0.346,3.91775048132712e-31,"1","ENSG00000196126"
5.55471071748197e-35,0.788857958505931,0.407,0.244,6.22849712751253e-31,"1","ENSG00000228502"
1.04928095721745e-33,0.694233413421278,0.612,0.466,1.17655873732792e-29,"1","ENSG00000204287"
1.39108783822461e-33,0.758276819666714,0.523,0.371,1.55982679300126e-29,"1","ENSG00000173372"
2.16046776804975e-33,0.46450201870339,0.723,0.572,2.42253250831419e-29,"1","ENSG00000173369"
3.41305967065791e-32,0.693449742606993,0.436,0.277,3.82706380870871e-28,"1","ENSG00000196205"
